sentence, label
I'm so annoyed with my noisy coworkers in the office.,0
I'm really disappointed with the lack of customer support from this company.,0
I can't believe I spilled coffee all over my new shirt.,0
I'm so tired of dealing with unreliable public transportation.,0
The concert I attended last night was a total letdown.,0
I'm feeling really down after receiving a rejection letter.,0
I can't stand the long lines at the grocery store.,0
I'm so frustrated with the constant glitches in this software.,0
I'm really upset about the delay in my package delivery.,0
I can't believe how rude some people can be on social media.,0
I'm so disappointed with the poor quality of this restaurant's food.,0
I'm feeling really overwhelmed with all the negative news lately.,0
I can't stand the way my boss constantly criticizes my work.,0
I'm so annoyed with the constant interruptions in my meetings.,0
I'm really frustrated with the lack of progress in my fitness journey.,0
I can't believe how expensive the parking fees are in this city.,0
I'm so tired of dealing with constant technical issues on my computer.,0
I'm really irritated by the constant noise from construction outside.,0
I'm so disappointed with the lack of professionalism in this company.,0
I can't stand the way people talk loudly on their phones in public.,0
I'm feeling really down after receiving negative feedback on my project.,0
I hate you!,0
